"position","rating","height","foot","pace","shooting","passing","dribbling","defending","heading"
0,84,178,0,91,80,77,87,60,68
0,84,173,1,89,78,75,90,43,59
0,84,181,0,79,79,81,85,59,62
0,84,180,1,74,88,80,81,53,72
1,84,186,0,82,58,64,48,86,85
1,84,192,1,73,60,72,71,85,77
1,84,192,1,65,59,69,62,85,79
1,84,181,1,58,46,62,54,81,81
2,84,170,1,92,75,79,87,47,60
2,84,168,1,81,75,81,87,55,63
2,84,181,0,80,81,83,86,52,67
2,84,178,1,86,79,80,85,62,64
2,84,171,1,77,77,84,83,71,74
2,84,183,1,76,80,81,77,69,74
2,84,180,1,69,81,82,84,70,65
2,84,176,1,83,70,78,86,56,57
2,84,178,1,83,75,81,86,47,55
2,84,182,1,63,79,82,89,49,58
2,84,177,1,75,78,82,79,85,80
0,83,180,1,92,77,64,86,46,68
0,83,183,1,74,81,59,78,56,84
0,83,180,1,79,75,65,77,53,88
0,83,176,1,77,67,77,89,51,69
0,83,172,1,82,79,78,87,51,55
0,83,174,1,83,78,70,81,56,81
0,83,182,0,87,86,66,80,52,66
0,83,195,1,66,76,57,74,65,81
0,83,181,1,93,72,74,82,54,67
0,83,180,1,85,81,69,78,60,79
0,83,172,1,85,80,75,82,54,71
0,83,175,1,92,81,68,75,56,82
0,83,187,1,79,77,58,77,60,80
0,83,186,1,83,80,71,78,57,72
0,83,185,1,76,81,66,82,55,80
0,83,175,1,70,78,84,86,55,54
1,83,183,1,75,63,59,55,82,82
1,83,189,1,66,69,56,58,84,83
1,83,191,0,69,67,66,58,82,78
1,83,183,0,69,67,70,61,82,88
1,83,176,1,81,58,75,77,80,77
1,83,188,1,69,60,62,58,83,82
2,83,170,1,75,73,83,86,49,62
2,83,173,1,76,76,82,87,58,65
2,83,179,0,86,83,82,83,69,69
2,83,186,1,78,75,80,85,51,62
2,83,180,1,81,73,81,79,79,71
2,83,184,0,68,73,82,83,58,69
2,83,189,1,59,58,79,74,80,68
2,83,187,1,76,76,79,85,55,64
2,83,180,0,70,78,84,84,57,62
2,83,184,1,74,76,80,77,79,83
2,83,177,1,59,74,87,80,64,40
0,82,176,1,87,82,74,75,55,75
0,82,186,0,67,82,60,77,60,81
0,82,179,1,75,81,60,77,62,80
0,82,186,1,70,82,58,70,55,76
0,82,180,1,90,77,76,85,57,59
0,82,175,1,96,71,68,85,53,56
0,82,175,0,87,75,76,85,56,51
0,82,188,0,71,77,75,86,58,69
0,82,175,1,92,75,61,74,50,80
0,82,184,1,91,76,69,80,55,80
0,82,178,1,94,77,54,85,56,76
0,82,186,1,70,80,58,77,57,80
0,82,189,1,68,80,79,81,49,81
0,82,180,1,89,79,51,72,56,77
0,82,191,1,77,77,60,80,59,79
0,82,168,1,86,84,72,85,56,57
0,82,183,1,88,80,58,73,58,80
1,82,192,1,37,59,65,60,84,74
1,82,190,1,56,54,66,58,81,80
1,82,189,1,76,60,72,57,83,84
1,82,179,0,84,73,78,81,76,73
1,82,172,0,86,70,80,82,78,72
1,82,189,1,79,64,70,66,82,79
1,82,193,1,72,63,65,53,81,82
1,82,198,1,39,43,56,36,86,66
2,82,178,1,63,59,80,79,80,57
2,82,191,0,64,65,78,69,79,74
2,82,185,1,73,79,84,78,72,75
2,82,171,1,82,76,80,86,53,59
2,82,179,1,69,80,81,79,73,71
2,82,165,1,95,62,68,86,48,46
2,82,184,1,72,57,72,76,84,74
2,82,185,1,90,78,74,81,61,61
2,82,172,1,76,55,70,72,82,66
2,82,167,1,77,74,78,86,46,53
2,82,185,1,80,76,81,82,78,82
2,82,190,1,58,66,74,71,83,77
2,82,179,0,66,59,76,76,79,67
2,82,172,1,86,72,71,87,45,54
2,82,173,0,77,69,82,84,72,63
2,82,187,1,52,73,77,68,83,73
2,82,172,1,90,75,76,89,54,58
2,82,185,1,64,72,83,73,78,73
2,82,175,1,79,70,74,84,53,57
2,82,175,1,66,81,85,84,67,69
2,82,173,1,66,58,74,72,81,76
2,82,180,0,82,78,82,82,56,60
2,82,175,1,73,76,81,76,78,74
2,82,178,1,71,73,76,82,55,60
0,81,186,1,82,80,70,84,60,71
0,81,179,1,79,78,65,77,58,73
0,81,184,1,75,74,62,74,57,88
0,81,188,1,78,77,72,78,66,83
0,81,173,1,89,75,58,83,54,76
0,81,183,1,79,75,66,81,57,78
0,81,186,1,84,74,69,85,52,74
0,81,184,1,78,79,57,72,62,81
0,81,180,1,81,75,64,75,59,74
0,81,179,1,85,74,76,82,62,66
0,81,167,1,87,75,75,81,48,53
0,81,183,1,81,75,69,79,58,80
0,81,183,1,81,76,65,78,51,79
0,81,173,1,85,77,74,84,57,60
0,81,192,0,42,85,71,73,63,77
0,81,169,1,86,76,70,86,42,68
0,81,183,1,81,76,73,86,56,68
0,81,191,0,75,74,63,71,69,81
0,81,189,1,83,79,67,83,61,70
0,81,179,1,77,75,79,87,48,50
0,81,184,0,66,84,70,77,54,78
0,81,180,0,63,76,69,82,54,71
0,81,190,1,80,75,62,70,63,81
0,81,169,1,86,82,50,80,48,71
0,81,184,1,76,73,52,72,57,84
0,81,173,1,87,77,78,80,60,65
1,81,180,1,77,60,76,69,80,70
1,81,189,1,69,66,60,62,80,89
1,81,188,1,53,47,46,30,83,85
1,81,186,0,78,36,74,62,82,77
1,81,178,1,85,69,78,74,69,71
1,81,184,1,69,54,57,43,84,83
1,81,183,0,84,64,77,75,77,70
1,81,190,1,54,55,67,62,84,75
1,81,187,0,74,37,65,56,80,84
1,81,187,1,69,50,62,58,81,83
1,81,195,1,60,53,58,46,86,66
1,81,181,1,63,50,56,56,80,85
2,81,180,1,62,78,82,80,51,59
2,81,186,1,65,75,84,81,67,62
2,81,182,1,74,76,83,80,66,61
2,81,183,1,64,53,79,70,79,72
2,81,176,1,78,79,84,81,73,67
2,81,174,0,71,76,81,86,54,51
2,81,184,1,77,67,82,73,82,81
2,81,172,1,74,55,76,72,78,70
2,81,175,0,72,82,80,80,61,68
2,81,185,1,77,77,80,79,66,72
2,81,180,0,79,74,79,81,74,62
2,81,180,1,89,71,75,87,56,59
2,81,181,1,71,76,83,79,68,63
2,81,181,1,87,74,78,84,56,65
2,81,175,1,68,79,86,78,67,59
2,81,188,1,75,58,74,71,82,76
2,81,185,0,81,78,82,79,79,67
2,81,179,1,81,72,80,79,71,62
2,81,176,1,74,75,77,83,50,63
2,81,176,0,87,74,77,82,70,73
2,81,189,1,64,72,73,69,82,81
2,81,171,0,86,75,78,86,46,48
2,81,182,1,59,79,84,78,62,54
2,81,179,0,82,82,80,80,50,53
2,81,164,1,91,70,72,89,40,40
2,81,182,0,83,82,79,81,69,74
2,81,182,1,79,65,72,77,81,65
2,81,189,1,62,80,80,73,79,86
2,81,187,0,50,71,78,71,80,82
2,81,184,0,73,78,84,78,72,69
2,81,190,1,64,61,67,69,84,87
2,81,183,0,54,74,81,75,78,75
2,81,179,1,68,75,81,84,50,52
0,80,188,1,55,78,64,73,59,70
0,80,173,1,56,79,82,84,50,43
0,80,176,1,74,81,81,79,53,68
0,80,185,0,71,77,59,74,60,81
0,80,180,1,57,84,83,81,60,56
0,80,182,0,78,76,65,77,60,73
0,80,175,1,84,76,77,85,53,59
0,80,176,1,89,77,69,87,50,61
0,80,180,1,75,84,72,78,59,62
0,80,188,1,82,80,67,85,51,64
0,80,188,0,88,75,66,81,51,73
0,80,187,1,76,76,52,70,60,85
0,80,185,0,69,79,61,74,62,82
1,80,178,0,83,60,78,78,72,71
1,80,188,1,67,31,51,30,82,85
1,80,182,1,87,66,76,79,75,75
1,80,188,0,67,51,69,59,82,84
1,80,183,1,73,62,73,69,81,69
1,80,176,0,89,45,75,80,75,70
1,80,190,1,64,58,64,59,81,77
1,80,170,0,79,73,78,78,74,69
1,80,182,0,81,66,78,80,77,65
1,80,191,1,71,38,55,50,81,80
1,80,181,1,84,49,66,68,84,89
1,80,198,1,74,64,58,49,81,72
1,80,189,0,66,64,76,70,80,76
1,80,190,1,68,35,55,51,82,79
1,80,187,1,71,32,62,53,80,80
1,80,195,1,62,45,57,47,82,79
1,80,185,1,66,51,66,62,79,81
1,80,182,1,59,65,75,69,80,74
1,80,183,1,83,60,78,77,75,67
1,80,187,1,59,44,58,46,82,78
1,80,182,1,60,43,57,51,79,77
1,80,189,1,67,40,52,38,78,84
1,80,188,1,67,32,50,56,83,85
1,80,180,1,69,51,70,54,81,84
1,80,185,1,45,34,54,38,80,80
2,80,171,1,80,69,81,84,50,47
2,80,181,1,61,65,74,62,79,77
2,80,183,0,68,74,70,70,82,80
2,80,180,1,74,67,78,73,77,69
2,80,177,1,54,79,84,81,69,57
2,80,180,1,69,71,83,75,76,69
2,80,172,1,80,75,76,82,60,64
2,80,176,1,80,70,77,77,72,64
2,80,184,1,84,72,79,75,76,84
2,80,185,1,78,78,75,82,59,82
2,80,185,0,67,76,86,75,73,71
2,80,183,1,72,76,79,75,79,73
2,80,187,1,64,69,74,66,83,80
2,80,175,1,74,76,77,78,73,70
2,80,184,1,75,81,81,79,80,76
2,80,170,1,82,70,73,87,36,46
2,80,173,0,81,75,77,85,47,57
2,80,182,0,76,77,78,83,46,74
2,80,177,1,81,65,78,77,78,65
2,80,171,1,80,68,82,81,60,53
2,80,177,1,82,71,74,79,46,55
2,80,182,1,62,78,82,80,49,59
2,80,175,1,68,75,76,83,54,57
2,80,181,0,68,80,83,74,74,72
2,80,182,0,67,76,83,75,77,75
2,80,177,1,59,71,81,74,74,66
2,80,170,1,73,73,77,86,60,58
2,80,178,0,89,70,78,84,58,57
2,80,190,1,66,75,80,74,77,81
2,80,178,1,68,77,78,77,72,91
2,80,182,1,57,65,77,71,79,87
2,80,188,1,67,75,80,73,79,77
2,80,181,1,53,78,82,75,74,60
0,79,182,1,72,75,62,75,60,91
0,79,183,1,80,74,72,79,59,84
0,79,185,1,73,79,70,77,72,77
0,79,191,1,73,76,65,67,59,80
0,79,184,1,84,80,68,80,56,67
0,79,173,1,66,78,66,79,65,68
0,79,174,1,87,73,67,84,55,65
0,79,184,1,74,78,68,71,56,74
0,79,175,1,81,81,65,75,54,66
0,79,184,1,69,80,74,76,70,79
0,79,187,1,80,75,54,76,65,86
0,79,185,1,67,80,67,74,54,82
0,79,178,0,83,74,74,82,53,76
0,79,192,1,77,72,69,72,66,73
0,79,180,1,81,76,66,79,58,81
0,79,176,0,84,71,69,84,52,66
0,79,169,1,86,73,72,80,47,55
0,79,189,1,83,77,63,74,67,78
0,79,182,1,74,74,55,73,56,79
0,79,174,1,83,75,63,83,52,71
0,79,191,1,74,74,69,75,55,77
0,79,179,1,86,70,71,85,50,60
0,79,184,1,88,80,73,82,56,69
0,79,180,0,76,75,75,82,55,64
0,79,190,0,71,81,80,81,64,49
0,79,180,1,83,68,74,84,60,61
0,79,189,1,67,76,54,75,57,76
0,79,166,1,93,71,69,82,46,55
0,79,185,0,79,80,55,77,60,77
0,79,201,1,55,74,66,77,56,63
0,79,175,1,80,78,67,81,62,71
1,79,182,1,82,69,78,75,79,63
1,79,183,1,79,58,74,71,79,73
1,79,183,1,50,54,71,63,79,71
1,79,186,1,82,53,74,70,81,81
1,79,181,1,63,50,64,62,81,78
1,79,184,1,34,37,65,48,80,75
1,79,186,1,65,49,59,40,82,77
1,79,184,1,78,63,76,75,76,71
1,79,188,0,52,53,71,56,80,80
1,79,188,1,69,54,54,62,80,82
1,79,183,0,88,72,77,59,82,86
1,79,172,1,84,57,77,78,71,66
1,79,184,0,86,59,75,76,79,71
1,79,180,0,81,67,77,77,76,73
1,79,178,0,88,60,72,74,74,69
1,79,186,1,79,56,75,71,77,77
1,79,184,1,64,61,63,55,81,80
1,79,187,0,71,73,79,74,80,77
1,79,192,1,63,46,54,49,85,75
1,79,186,1,67,31,62,39,80,80
1,79,184,1,69,45,68,60,78,81
1,79,188,1,62,42,65,32,79,81
1,79,182,0,72,69,79,65,78,74
1,79,196,1,54,47,45,41,84,72
1,79,183,1,64,56,70,66,78,81
1,79,184,0,61,62,68,64,78,76
2,79,168,0,78,75,80,76,80,70
2,79,180,1,81,74,76,81,57,59
2,79,169,1,80,81,77,83,47,62
2,79,177,1,47,77,81,69,75,57
2,79,174,1,68,78,79,77,66,62
2,79,183,1,79,71,76,80,69,65
2,79,171,1,79,78,85,81,58,62
2,79,181,1,85,69,74,84,58,58
2,79,177,1,81,68,80,79,57,60
2,79,176,1,75,73,78,79,67,64
2,79,185,1,69,79,77,81,53,56
2,79,170,1,83,74,78,83,61,70
2,79,180,0,78,76,73,79,56,50
2,79,176,1,73,74,82,79,69,58
2,79,184,1,68,81,85,78,66,52
2,79,174,1,73,68,77,75,69,66
2,79,176,1,92,69,71,86,50,66
2,79,178,1,73,62,74,74,81,78
2,79,194,1,71,66,76,72,81,79
2,79,175,1,82,80,76,81,60,60
2,79,185,1,69,56,71,62,79,75
2,79,180,0,73,76,80,77,75,71
2,79,180,0,54,80,87,68,69,62
2,79,174,1,66,71,82,80,70,60
2,79,180,1,78,75,79,80,63,61
2,79,183,1,70,53,74,70,80,74
2,79,180,1,85,68,78,80,71,74
2,79,187,0,75,56,74,76,80,75
2,79,180,1,83,79,71,84,56,67
2,79,172,1,76,69,73,82,60,62
2,79,182,1,79,65,76,76,57,41
2,79,183,1,63,70,76,74,72,75
2,79,178,0,64,77,82,77,70,66
2,79,178,1,82,72,74,83,59,64
2,79,180,1,66,74,80,73,71,61
2,79,175,1,82,68,76,84,52,63
0,78,179,1,79,77,62,80,54,77
0,78,180,1,70,76,76,80,60,63
0,78,185,1,77,73,67,74,59,81
0,78,184,0,73,76,70,80,58,69
0,78,182,1,82,76,65,76,55,74
0,78,183,1,70,80,63,79,55,56
0,78,188,1,71,77,64,74,62,66
0,78,175,1,84,72,75,82,55,65
0,78,164,1,83,72,72,85,57,63
0,78,185,1,83,78,63,79,47,67
0,78,188,1,70,78,68,71,55,77
0,78,182,1,76,74,60,73,58,79
0,78,186,1,76,79,73,71,58,76
0,78,192,1,61,73,64,73,64,78
0,78,176,1,71,74,61,75,55,84
0,78,183,1,79,78,57,72,52,70
0,78,171,0,84,72,68,85,45,53
0,78,178,0,75,76,74,80,63,82
0,78,173,0,86,60,71,83,53,51
0,78,172,1,79,79,68,79,54,63
0,78,192,1,76,74,60,72,54,73
0,78,170,1,85,75,74,86,39,58
0,78,180,0,83,70,77,82,58,59
0,78,178,1,88,75,63,82,52,64
0,78,186,1,77,76,57,76,62,79
0,78,186,1,77,74,57,74,56,79
0,78,185,0,82,73,56,76,53,77
0,78,174,0,88,71,75,75,52,60
0,78,182,1,82,78,64,70,54,70
0,78,182,0,76,76,60,76,58,73
0,78,178,1,91,74,61,79,45,64
0,78,185,0,90,71,52,76,53,69
0,78,169,1,84,70,67,84,50,57
0,78,191,0,86,75,64,70,60,74
0,78,187,1,75,77,71,79,63,61
0,78,182,1,72,76,65,79,52,77
0,78,192,1,55,73,68,80,70,72
1,78,181,1,65,61,64,54,78,77
1,78,183,0,76,70,76,75,73,69
1,78,185,1,58,54,67,59,78,83
1,78,185,1,71,47,64,60,77,80
1,78,191,1,64,48,55,36,82,81
1,78,183,0,58,46,74,49,76,75
1,78,182,1,70,47,59,52,78,82
1,78,182,1,50,52,58,45,82,80
1,78,183,0,55,44,59,47,80,81
1,78,172,1,85,68,76,80,70,66
1,78,180,0,83,62,78,71,75,66
1,78,192,1,56,54,57,50,80,73
1,78,192,0,51,49,54,47,83,70
1,78,185,1,71,41,65,53,76,83
1,78,173,1,81,48,58,40,76,80
1,78,180,1,65,65,69,62,78,79
1,78,171,1,77,63,77,77,74,74
1,78,180,1,91,63,76,78,75,69
1,78,182,1,71,37,50,56,80,82
1,78,188,1,58,56,64,58,81,70
1,78,190,1,72,38,63,68,79,77
1,78,188,0,70,38,59,42,81,80
1,78,182,1,77,58,64,68,78,78
1,78,172,0,85,62,81,74,70,65
1,78,185,1,48,50,64,48,79,77
1,78,195,1,52,42,59,62,83,69
1,78,182,1,79,56,72,65,77,83
1,78,173,1,75,72,75,75,78,71
1,78,191,1,69,54,74,65,80,78
1,78,181,1,85,62,70,74,74,73
1,78,190,1,71,55,62,60,80,84
1,78,183,1,59,38,64,56,78,74
1,78,192,1,72,57,56,58,81,74
1,78,189,0,58,36,62,53,80,78
1,78,192,1,81,51,65,61,81,82
1,78,186,1,51,38,57,39,80,78
1,78,188,1,54,40,38,33,81,78
1,78,185,1,79,50,54,54,78,77
1,78,190,1,71,66,65,59,79,74
1,78,191,1,70,33,51,45,78,81
1,78,186,1,49,42,59,55,81,81
1,78,182,0,55,42,68,51,78,75
2,78,178,1,84,75,76,76,66,64
2,78,173,1,76,60,73,73,73,82
2,78,179,0,73,70,78,72,78,79
2,78,186,1,61,69,67,67,82,73
2,78,186,1,70,59,72,66,81,68
2,78,168,0,80,74,75,81,50,57
2,78,185,1,67,71,82,81,52,57
2,78,179,1,70,76,76,74,71,63
2,78,176,1,66,71,79,78,56,56
2,78,170,1,75,78,79,78,63,65
2,78,177,1,94,68,78,77,58,59
2,78,175,1,77,69,73,81,66,67
2,78,178,1,83,68,72,83,57,68
2,78,180,1,76,69,78,80,67,58
2,78,173,1,70,69,76,86,56,59
2,78,172,0,67,59,73,71,77,73
2,78,172,0,80,69,77,80,70,71
2,78,175,0,56,76,83,76,55,50
2,78,169,1,67,63,71,74,75,74
2,78,178,1,71,78,79,77,66,66
2,78,175,1,75,72,80,78,68,62
2,78,177,1,67,59,76,71,75,59
2,78,174,1,85,67,75,80,45,56
2,78,188,1,74,47,66,63,83,72
2,78,180,1,77,61,72,78,81,72
2,78,175,0,78,66,76,74,77,76
2,78,179,1,72,48,76,71,74,75
2,78,173,1,92,77,73,84,51,67
2,78,173,1,77,78,75,81,56,62
2,78,179,1,66,69,83,74,70,62
2,78,177,1,67,77,79,74,74,69
2,78,180,1,81,76,69,87,51,57
2,78,168,1,81,62,72,74,72,63
2,78,163,0,90,70,68,84,35,73
2,78,183,1,73,70,80,77,72,72
2,78,176,0,67,81,78,79,68,59
2,78,180,1,67,69,80,75,67,62
2,78,187,1,74,66,74,72,79,66
2,78,186,1,72,74,77,76,80,77
2,78,174,0,67,74,78,75,67,57
2,78,187,1,72,69,76,73,80,79
2,78,172,1,78,61,69,64,81,76
2,78,174,1,76,75,76,81,70,69
2,78,192,1,75,55,74,60,82,78
2,78,183,0,83,73,71,79,57,61
2,78,188,0,77,75,76,82,63,65
2,78,174,1,70,82,79,76,62,60
2,78,183,1,64,76,87,72,68,53
2,78,177,1,59,52,68,61,81,60
2,78,185,1,70,67,78,82,49,51
2,78,183,0,70,79,79,77,66,72
2,78,175,0,70,72,78,83,60,53
2,78,168,1,66,71,78,77,76,56
0,77,190,0,62,80,52,71,59,67
0,77,183,1,62,76,70,74,63,81
0,77,188,0,77,74,75,79,58,65
0,77,183,1,55,73,59,72,70,89
0,77,181,1,91,76,67,76,62,76
0,77,175,1,82,76,70,84,56,61
0,77,170,0,92,73,58,75,50,78
0,77,193,0,61,75,68,67,60,78
0,77,183,0,81,74,69,80,58,66
0,77,175,1,73,78,76,80,58,69
0,77,186,1,57,72,62,74,65,87
0,77,179,1,81,73,56,74,51,70
0,77,185,1,84,72,68,82,52,68
0,77,176,1,94,61,70,77,36,57
0,77,188,1,90,72,61,85,52,67
0,77,182,1,87,73,66,77,55,74
0,77,180,0,76,79,75,78,59,76
0,77,180,1,76,73,64,81,57,77
0,77,169,0,86,70,68,77,55,56
0,77,178,1,89,74,64,82,55,67
0,77,185,0,74,76,58,71,67,74
0,77,181,1,79,73,68,74,62,78
0,77,181,1,72,77,62,81,51,63
0,77,184,1,85,69,63,79,61,81
0,77,176,0,89,75,59,80,51,59
0,77,184,1,80,73,57,76,56,79
0,77,186,1,73,73,48,70,60,75
0,77,173,1,87,69,71,83,55,65
0,77,167,1,84,68,68,81,45,44
0,77,179,1,81,76,61,81,51,68
0,77,180,1,66,78,60,72,58,71
0,77,191,1,82,73,61,69,65,81
0,77,175,1,68,78,62,77,51,63
0,77,181,1,79,74,66,76,58,78
0,77,177,1,77,77,74,75,53,69
0,77,177,1,76,76,72,78,64,74
1,77,186,1,64,64,66,59,77,82
1,77,181,1,65,45,59,48,77,75
1,77,185,0,71,77,77,70,76,69
1,77,180,1,65,51,62,49,77,80
1,77,183,1,65,39,60,51,77,79
1,77,183,1,46,37,48,40,80,85
1,77,182,1,62,48,61,46,78,78
1,77,182,1,58,61,64,56,78,76
1,77,188,1,71,43,57,59,78,81
1,77,188,0,66,64,74,66,81,73
1,77,178,1,78,60,78,70,74,73
1,77,184,1,65,49,53,53,78,80
1,77,192,1,76,39,62,61,78,80
1,77,185,0,72,67,75,74,76,74
1,77,186,0,76,51,62,50,77,77
1,77,196,1,29,57,59,34,82,67
1,77,191,1,67,39,49,46,81,80
1,77,192,1,63,46,44,44,80,76
1,77,174,0,85,67,72,71,74,65
1,77,178,0,83,61,76,72,73,70
1,77,187,1,67,46,52,47,80,78
1,77,178,1,74,46,73,77,75,69
1,77,181,0,86,58,71,68,78,74
1,77,184,1,66,39,64,48,81,80
1,77,181,1,79,31,50,50,75,75
1,77,192,1,74,41,67,52,81,76
1,77,180,1,63,38,63,49,76,77
1,77,185,1,60,47,54,60,76,76
1,77,181,0,77,60,73,69,74,71
1,77,188,0,65,46,62,50,78,79
1,77,182,1,71,55,66,63,75,80
1,77,192,1,70,24,50,52,79,73
1,77,187,1,62,52,64,56,78,78
1,77,190,1,58,53,59,53,78,81
1,77,183,1,63,39,49,51,79,84
1,77,186,0,48,43,52,38,79,79
1,77,192,0,61,36,56,55,80,75
1,77,194,1,48,35,66,52,79,72
1,77,185,1,52,49,55,51,78,75
1,77,183,0,51,47,58,60,77,72
1,77,191,1,55,60,66,59,78,81
1,77,182,1,74,61,71,67,76,76
1,77,183,1,75,65,70,56,78,82
1,77,185,1,55,36,53,54,73,83
1,77,177,0,75,63,79,77,76,70
1,77,186,0,52,44,62,50,78,72
1,77,178,0,65,50,65,62,77,73
2,77,171,0,91,75,72,85,40,57
2,77,181,1,49,64,70,63,79,62
2,77,184,1,77,69,70,72,79,74
2,77,175,1,90,64,75,82,53,57
2,77,178,1,78,72,71,83,61,60
2,77,180,1,82,72,71,83,45,57
2,77,180,1,77,71,79,78,64,62
2,77,178,1,65,61,74,66,77,84
2,77,174,0,78,77,79,77,61,56
2,77,175,0,85,73,73,78,69,51
2,77,175,1,77,59,65,75,80,66
2,77,168,1,84,70,72,82,52,57
2,77,178,1,60,72,80,73,58,60
2,77,175,0,67,69,80,76,70,62
2,77,168,1,65,75,75,76,49,55
2,77,186,1,58,77,75,80,69,73
2,77,180,1,62,69,76,70,68,59
2,77,173,1,70,73,72,81,58,68
2,77,176,1,75,71,78,82,46,54
2,77,171,1,76,66,74,78,77,70
2,77,185,1,77,70,73,77,72,68
2,77,188,1,78,74,72,84,77,73
2,77,171,0,90,71,71,84,65,60
2,77,175,1,91,66,70,80,58,56
2,77,176,0,82,56,78,83,72,71
2,77,185,1,73,76,76,68,76,64
2,77,173,1,75,73,72,76,59,54
2,77,161,0,79,69,72,82,36,47
2,77,189,1,59,67,74,72,77,62
2,77,188,0,76,70,73,84,55,56
2,77,175,1,72,73,73,80,52,47
2,77,183,1,68,74,84,76,53,51
2,77,166,1,71,73,73,76,65,62
2,77,172,1,85,67,72,81,68,59
2,77,191,1,72,76,68,76,62,75
2,77,170,1,87,73,72,82,47,65
2,77,174,1,80,76,74,82,49,62
2,77,184,1,67,62,73,68,76,74
2,77,174,0,90,76,71,82,54,68
2,77,189,1,69,52,74,68,77,70
2,77,168,1,76,71,76,79,56,63
2,77,187,1,78,76,76,76,65,80
2,77,182,1,68,73,78,75,64,65
2,77,187,1,86,75,73,75,83,74
2,77,182,1,77,70,77,78,67,72
2,77,181,0,69,58,64,67,76,76
2,77,160,0,77,69,75,82,38,48
2,77,182,1,75,70,80,77,66,60
2,77,179,1,79,73,75,79,67,62
2,77,180,1,73,65,76,68,77,69
2,77,180,1,77,73,75,79,68,63
2,77,173,1,82,73,68,74,71,75
2,77,179,1,80,66,68,85,43,56
2,77,178,0,76,75,76,80,67,50
2,77,170,0,90,66,72,80,66,67
2,77,176,0,70,70,72,84,46,43
2,77,175,1,84,65,61,73,82,71
2,77,176,1,66,76,80,76,63,64
2,77,178,0,75,77,76,80,56,55
2,77,178,1,77,69,74,75,73,66
2,77,183,1,74,68,81,73,72,66
2,77,175,1,45,74,82,68,71,65
2,77,184,0,65,78,83,79,46,59
2,77,170,1,66,70,81,77,62,52
2,77,180,1,51,69,75,71,73,70
2,77,180,0,76,70,77,74,71,68
2,77,183,1,67,77,77,71,72,80
2,77,174,1,64,72,79,79,57,58
2,77,182,1,36,70,77,64,78,67
2,77,188,0,62,64,73,61,79,76
0,76,182,1,91,76,56,65,58,71
0,76,181,1,51,69,42,54,35,69
0,76,178,1,79,72,60,72,66,84
0,76,170,1,78,74,57,77,51,68
0,76,179,1,85,74,69,81,53,69
